Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)]
0.97125,12.9123,36.7451
0.9725,12.9123,36.7451
0.97375,12.9123,36.7451
0.975,12.9123,36.7451
0.97625,13.0105,36.7451
0.9775,13.0105,36.7451
0.97875,13.1088,36.7451
0.98,13.1088,36.7451
0.98125,13.0105,36.7451
0.9825,13.0105,36.7451
0.98375,13.0105,36.7451
0.985,13.0105,36.7451
0.98625,13.0105,36.7451
0.9875,13.0105,36.7451
0.98875,13.0105,36.7451
0.99,13.0105,36.7451
0.99125,13.0105,36.7451
0.9925,13.0105,36.7451
0.99375,12.9123,36.7451
0.995,12.9123,43.0303
0.99625,12.7158,43.0303
0.9975,12.7158,43.0303
0.99875,12.7158,43.0303
1,12.7158,43.0303
1.00125,12.5194,43.0303
1.00125,12.5194,43.0303
1.00125,12.5194,43.0303
1.0025,12.5194,43.0303
1.00375,12.5194,43.0303
1.005,12.5194,43.0303
1.00625,12.4211,43.0303
1.0075,12.4211,43.0303
1.00875,12.5194,43.0303
1.01,12.5194,43.0303
1.01125,12.4211,43.0303
1.0125,12.4211,43.0303
1.01375,12.4211,43.0303
1.015,12.4211,43.0303
1.01625,12.5194,43.0303
1.0175,12.5194,43.0303
1.01875,12.5194,43.0303
1.02,12.5194,43.0303
1.02125,12.4211,43.0303
1.0225,12.4211,43.0303
1.02375,12.3229,43.0303
1.025,12.3229,43.0303
1.02625,12.3229,43.0303
1.0275,12.3229,43.0303
1.02875,12.4211,43.0303
1.03,12.4211,43.0303
1.03125,12.4211,43.0303
1.0325,12.4211,43.0303
1.03375,12.3229,43.0303
1.035,12.3229,43.0303
1.03625,12.2247,43.0303
1.0375,12.2247,43.0303
1.03875,12.3229,43.0303
1.04,12.3229,43.0303
1.04125,12.4211,43.0303
1.0425,12.4211,43.0303
1.04375,12.4211,43.0303
1.045,12.4211,50.5894
1.04625,12.4211,50.5894
1.0475,12.4211,50.5894
1.04875,12.4211,50.5894
1.05,12.4211,50.5894
1.05125,12.4211,50.5894
1.05125,12.4211,50.5894
1.05125,12.4211,50.5894
1.0525,12.4211,50.5894
1.05375,12.4211,50.5894
1.055,12.4211,50.5894
1.05625,12.4211,50.5894
1.0575,12.4211,50.5894
1.05875,12.4211,50.5894
1.06,12.4211,50.5894
1.06125,12.3229,50.5894
1.0625,12.3229,50.5894
1.06375,12.2247,50.5894
1.065,12.2247,50.5894
1.06625,12.2247,50.5894
1.0675,12.2247,50.5894
1.06875,12.2247,50.5894
1.07,12.2247,50.5894
1.07125,12.1264,50.5894
1.0725,12.1264,50.5894
1.07375,12.2247,50.5894
1.075,12.2247,50.5894
1.07625,12.1264,50.5894
1.0775,12.1264,50.5894
1.07875,12.1264,50.5894
1.08,12.1264,50.5894
1.08125,12.1264,50.5894
1.0825,12.1264,50.5894
1.08375,12.0282,50.5894
1.085,12.0282,50.5894
1.08625,12.1264,50.5894
1.0875,12.1264,50.5894
1.08875,12.1264,50.5894
1.09,12.1264,50.5894
1.09125,12.1264,50.5894
1.0925,12.1264,50.5894
1.09375,12.1264,50.5894
1.095,12.1264,59.397
1.09625,12.1264,59.397
1.0975,12.1264,59.397
1.09875,12.1264,59.397
1.1,12.1264,59.397
1.10125,12.1264,59.397
1.10125,12.1264,59.397
1.10125,12.1264,59.397
1.1025,12.1264,59.397
1.10375,12.1264,59.397
1.105,12.1264,59.397
1.10625,12.1264,59.397
1.1075,12.1264,59.397
1.10875,12.1264,59.397
1.11,12.1264,59.397
1.11125,12.0282,59.397
1.1125,12.0282,59.397
1.11375,12.0282,59.397
1.115,12.0282,59.397
1.11625,12.0282,59.397
1.1175,12.0282,59.397
1.11875,12.0282,59.397
1.12,12.0282,59.397
1.12125,12.1264,59.397
1.1225,12.1264,59.397
1.12375,12.0282,59.397
1.125,12.0282,59.397
